colorexterior,colorinterior,accidenthist,owner,usage,price,age,odo,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,bodytype,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain
WHITE,BLACK,N,1,PERSONAL,19.49,1,40.661,31.0,27,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
BLACK,OTHER,N,2,PERSONAL,5.404,11,118.9,5.0,39,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
BLACK,BLACK,N,2,FLEET,13.995,2,38.182,16.0,4,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
SILVER,OTHER,N,2,PERSONAL,21.544,3,45.608,22.0,27,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,FWD
GRAY,BLACK,Y,2,FLEET,12.5,1,38.075,13.0,31,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
SILVER,OTHER,N,2,FLEET,18.995,1,32.659,25.0,47,2.126715603110482,98.53846153846153,SUV,5.5,22.0,N,AWD
SILVER,BLACK,N,2,PERSONAL,8.8,5,88.93,16.0,49,6.28802759768661,76.23076923076923,SEDAN,7.7,33.5,N,FWD
BLACK,BLACK,Y,1,PERSONAL,11.9,1,10.406,16.0,31,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
GRAY,GRAY,N,1,PERSONAL,7.777,7,83.521,13.0,49,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,19.995,1,29.162,31.0,18,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
BLACK,BLACK,N,1,PERSONAL,33.99,1,15.68,5.0,9,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
WHITE,BLACK,N,1,PERSONAL,17.497,1,23.298,16.0,27,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,BLACK,N,2,PERSONAL,20.999,1,19.588,31.0,9,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
BLACK,GRAY,N,1,PERSONAL,5.995,8,154.497,18.0,11,8.336902292535045,48.69230769230769,SEDAN,8.2,34.0,N,FWD
BLACK,OTHER,N,2,FLEET,4.95,13,146.988,8.0,50,1.7781767945930906,74.0,SUV,8.6,26.5,Y,AWD
SILVER,OTHER,N,0,PERSONAL,17.998,1,6.984,16.0,27,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,BLACK,N,2,PERSONAL,8.237,6,81.28,6.0,31,2.2234046752368357,58.76923076923077,SEDAN,7.8,30.5,N,FWD
BLACK,BLACK,Y,1,PERSONAL,5.998,4,116.811,14.0,27,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
WHITE,GRAY,N,2,PERSONAL,22.795,3,47.253,24.0,27,0.6528082167930821,68.3076923076923,SEDAN,7.4,26.5,Y,AWD
SILVER,BLACK,N,1,PERSONAL,9.995,1,39.343,16.0,27,6.28802759768661,76.23076923076923,SEDAN,6.9,35.0,N,FWD
BLACK,OTHER,N,1,PERSONAL,14.19,0,25.977,5.0,49,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
SILVER,OTHER,N,1,FLEET,24.99,1,10.902,10.0,52,13.832688602095642,71.61538461538461,COUPE,8.3,26.0,Y,FWD
WHITE,BLACK,N,1,PERSONAL,14.459,1,42.268,10.0,11,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
RED,BLACK,N,1,PERSONAL,16.269,1,13.713,14.0,4,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
SILVER,GRAY,N,1,PERSONAL,15.268,1,24.527,10.0,14,13.832688602095642,71.61538461538461,SUV,8.3,25.0,N,FWD
WHITE,GRAY,Y,2,FLEET,13.999,3,33.938,18.0,49,8.336902292535045,48.69230769230769,SEDAN,8.2,34.0,N,FWD
BLACK,BLACK,Y,1,PERSONAL,19.995,1,21.592,31.0,12,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
WHITE,BLACK,N,1,PERSONAL,15.999,1,31.052,10.0,38,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,23.797,3,36.321,22.0,49,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,AWD
BLACK,BLACK,N,1,PERSONAL,15.999,1,29.476,10.0,38,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
BLACK,BLACK,N,1,PERSONAL,15.127,1,35.589,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLACK,GRAY,N,2,FLEET,10.99,5,98.474,16.0,14,6.28802759768661,76.23076923076923,SEDAN,7.7,33.5,N,FWD
GRAY,OTHER,N,1,PERSONAL,25.988,3,31.557,22.0,49,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,FWD
WHITE,BLACK,N,1,PERSONAL,31.499,1,33.874,5.0,2,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
SILVER,OTHER,N,2,PERSONAL,31.599,1,17.553,5.0,34,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
WHITE,BLACK,N,1,PERSONAL,14.495,1,20.445,14.0,6,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
WHITE,BLACK,N,0,PERSONAL,17.377,1,2.665,9.0,11,11.692583720044867,78.23076923076923,SEDAN,7.8,32.5,N,FWD
WHITE,OTHER,Y,1,FLEET,4.995,5,95.676,10.0,49,13.832688602095642,71.61538461538461,SEDAN,7.9,31.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,15.27,1,42.089,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,OTHER,N,1,PERSONAL,16.1,1,32.626,5.0,49,12.1872269830779,43.23076923076923,SEDAN,8.7,35.0,N,FWD
