vin,make,model,pricecategory,price,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,bodytype,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain,age,odo
4T1B11HK4KU706526,TOYOTA,CAMRY,EXCELLENT PRICE,18596.0,ORLANDO,FL,BLACK,GRAY,N,1,PERSONAL,Y,SEDAN,5.0,27,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,1.0,13.433
3FADP4BE0EM174089,FORD,FIESTA,EXCELLENT PRICE,6499.0,LA FOLLETTE,TN,RED,BLACK,N,2,PERSONAL,Y,SEDAN,10.0,11,13.832688602095642,71.61538461538461,7.9,31.0,N,FWD,6.0,49.366
WBAFR7C52DC823658,BMW,5 SERIES,EXCELLENT PRICE,11999.0,COSTA MESA,CA,WHITE,BLACK,N,2,PERSONAL,Y,SEDAN,8.0,49,1.7781767945930906,74.0,8.5,25.0,Y,FWD,7.0,93.0
3FADP4EJ3KM124579,FORD,FIESTA,GREAT PRICE,11180.0,HILLSBOROUGH,NC,WHITE,BLACK,N,1,PERSONAL,Y,SEDAN,10.0,22,13.832688602095642,71.61538461538461,7.9,31.0,N,FWD,1.0,30.261
1GAZGPFG0K1297311,CHEVROLET,EXPRESS PASSENGER,GREAT PRICE,23751.0,OCALA,FL,WHITE,GRAY,N,1,PERSONAL,Y,VAN/MINIVAN,9.0,27,11.692583720044867,78.23076923076924,7.9,28.5,U,FWD,1.0,30.271
1VWAT7A30EC073918,VOLKSWAGEN,PASSAT,EXCELLENT PRICE,8399.0,MONTCLAIR,CA,GRAY,BLACK,N,2,FLEET,Y,SEDAN,6.0,49,2.223404675236836,58.769230769230774,7.8,30.5,N,FWD,6.0,56.308
1FMCU0GX8EUB28857,FORD,ESCAPE,EXCELLENT PRICE,6995.0,OKLAHOMA CITY,OK,BLACK,UNKNOWN,N,1,PERSONAL,Y,SUV,10.0,3,13.832688602095642,71.61538461538461,8.3,25.0,N,FWD,6.0,107.694
1GCUYDED5LZ145158,CHEVROLET,SILVERADO 1500,EXCELLENT PRICE,34643.531376481704,MEDFORD,NY,WHITE,BLACK,N,1,PERSONAL,Y,PICKUP,9.0,50,11.692583720044867,78.23076923076924,8.4,21.5,N,AWD,0.0,9.397
YV1672MC4BJ109431,VOLVO,C70,EXCELLENT PRICE,9990.0,BURBANK,CA,BLACK,BLACK,N,2,FLEET,Y,CONVERTIBLE,29.0,49,0.6631075808160745,82.53846153846153,7.9,25.5,Y,FWD,9.0,69.244
1N6BF0KL9EN107358,NISSAN,NV,EXCELLENT PRICE,13995.0,LAS VEGAS,NV,WHITE,BLACK,N,2,FLEET,Y,VAN/MINIVAN,16.0,38,6.28802759768661,76.23076923076924,7.9,28.5,U,FWD,6.0,98.534
1GKS2GKC1KR231057,GMC,YUKON,GREAT PRICE,34643.531376481704,SHAKOPEE,MN,SILVER,BROWN,N,1,PERSONAL,Y,SUV,28.0,30,3.3940162460390058,72.07692307692308,6.5,18.5,N,AWD,1.0,29.45
3GNFC16087G147906,CHEVROLET,SUBURBAN,EXCELLENT PRICE,7699.0,ORLANDO,FL,BLUE,GRAY,Y,2,PERSONAL,Y,SUV,9.0,27,11.692583720044867,78.23076923076924,7.6,18.5,N,AWD,11.547138900174604,116.196
3N1AB7AP6HL640332,NISSAN,SENTRA,EXCELLENT PRICE,9995.0,SEBRING,FL,SILVER,BLACK,N,2,PERSONAL,Y,SEDAN,16.0,27,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,3.0,65.024
SCFAD02A18GB09556,ASTON MARTIN,DB9,EXCELLENT PRICE,34643.531376481704,ALBUQUERQUE,NM,WHITE,UNKNOWN,N,1,PERSONAL,Y,COUPE,14.0,4,6.28802759768661,74.23076923076924,7.9,28.5,U,FWD,11.547138900174604,4.143
1GNSCHKC1KR271824,CHEVROLET,SUBURBAN,GREAT PRICE,34643.531376481704,LAWRENCEBURG,TN,BLACK,BLACK,N,1,PERSONAL,Y,SUV,9.0,11,11.692583720044867,78.23076923076924,7.6,18.5,N,AWD,1.0,43.672
5TDBY5G11KS168775,TOYOTA,SEQUOIA,EXCELLENT PRICE,34643.531376481704,SPRING,TX,SILVER,GRAY,N,1,PERSONAL,N,SUV,5.0,14,12.1872269830779,43.230769230769226,7.8,15.287412233609222,N,AWD,1.0,1.83
5XXGT4L32LG386121,KIA,OPTIMA,EXCELLENT PRICE,14998.0,PENSACOLA,FL,WHITE,BLACK,N,1,PERSONAL,Y,SEDAN,14.0,27,3.9890632445645786,73.38461538461539,8.4,28.5,N,FWD,0.0,30.488
KM8J33A49HU358714,HYUNDAI,TUCSON,GREAT PRICE,16488.0,CINCINNATI,OH,WHITE,GRAY,N,1,PERSONAL,Y,SUV,13.0,15,4.156328806440607,79.07692307692308,7.9,26.5,N,FWD,3.0,28.167
